HH_ID=18117111	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 2] to [2, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 4] to [2, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18117111	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18117111	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=4 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18117111	PER_ID=3 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=1 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18117111	PER_ID=3 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=2 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
HH_ID=18117111	PER_ID=2 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 2] to [2, 3, 4]
HH_ID=18117111	PER_ID=3 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 3] to [2, 3, 4]
HH_ID=18117111	PER_ID=4 	TRIP_ID=3 	reset TRAVEL PARTY from [1, 1, 1, 4] to [2, 3, 4]
